DATEPRD,WELL_BORE_CODE,BORE_GAS_VOL
22-Aug-08,NO 15/9-F-12 H,"290,174"
23-Aug-08,NO 15/9-F-12 H,"291,280"
24-Aug-08,NO 15/9-F-12 H,"294,694"
25-Aug-08,NO 15/9-F-12 H,"293,955"
26-Aug-08,NO 15/9-F-12 H,"293,974"
27-Aug-08,NO 15/9-F-12 H,"295,565"
28-Aug-08,NO 15/9-F-12 H,"305,319"
29-Aug-08,NO 15/9-F-12 H,"318,561"
30-Aug-08,NO 15/9-F-12 H,"297,316"
31-Aug-08,NO 15/9-F-12 H,"86,537"
01-Sep-08,NO 15/9-F-12 H,"284,059"
02-Sep-08,NO 15/9-F-12 H,"116,784"
03-Sep-08,NO 15/9-F-12 H,0
04-Sep-08,NO 15/9-F-12 H,0
05-Sep-08,NO 15/9-F-12 H,0
06-Sep-08,NO 15/9-F-12 H,"105,098"
07-Sep-08,NO 15/9-F-12 H,"304,483"
08-Sep-08,NO 15/9-F-12 H,"69,031"
09-Sep-08,NO 15/9-F-12 H,0
10-Sep-08,NO 15/9-F-12 H,"173,053"
11-Sep-08,NO 15/9-F-12 H,"592,089"
12-Sep-08,NO 15/9-F-12 H,"550,256"
13-Sep-08,NO 15/9-F-12 H,"593,840"
14-Sep-08,NO 15/9-F-12 H,"589,478"
15-Sep-08,NO 15/9-F-12 H,"590,019"
16-Sep-08,NO 15/9-F-12 H,"582,279"
17-Sep-08,NO 15/9-F-12 H,"570,002"
18-Sep-08,NO 15/9-F-12 H,"362,080"
19-Sep-08,NO 15/9-F-12 H,"369,110"
20-Sep-08,NO 15/9-F-12 H,"515,386"
21-Sep-08,NO 15/9-F-12 H,"407,045"
22-Sep-08,NO 15/9-F-12 H,"405,958"
23-Sep-08,NO 15/9-F-12 H,"520,319"
24-Sep-08,NO 15/9-F-12 H,"514,832"
25-Sep-08,NO 15/9-F-12 H,"509,448"
26-Sep-08,NO 15/9-F-12 H,"507,354"
27-Sep-08,NO 15/9-F-12 H,"456,679"
28-Sep-08,NO 15/9-F-12 H,"481,430"
29-Sep-08,NO 15/9-F-12 H,"497,305"
30-Sep-08,NO 15/9-F-12 H,"518,528"
01-Oct-08,NO 15/9-F-12 H,"511,856"
02-Oct-08,NO 15/9-F-12 H,"470,881"
03-Oct-08,NO 15/9-F-12 H,"509,509"
04-Oct-08,NO 15/9-F-12 H,"360,306"
05-Oct-08,NO 15/9-F-12 H,"477,920"
06-Oct-08,NO 15/9-F-12 H,"295,621"
